id,version,time,penalty,accuracy,attemp
96884,0,1.857,2.107,93.75,0
96884,2,0.698,0.698,95.83333333333333,0
96884,2,0.485,0.485,95.83333333333333,0
96884,2,0.528,0.528,95.83333333333333,0
96884,3,0.410,1.077,91.66666666666667,0
44125,0,0.750,0.750,100,0
44125,1,0.440,0.440,95.83333333333333,0
44125,2,0.471,0.721,93.75,0
44125,3,0.431,1.514,89.58333333333333,0
44125,4,0.417,1.083,91.66666666666667,0
46885,0,1.036,1.286,93.75,0
46885,1,2.365,5.531,79.16666666666667,0
46885,1,0.735,1.818,89.58333333333333,1
46885,1,0.767,2.267,87.5,0
46885,3,0.662,0.662,95.83333333333333,0
46885,3,0.563,2.896,83.33333333333333,1
46885,4,0.536,3.286,81.25,0
46885,4,0.523,0.523,95.83333333333333,1
46897,2,0.593,1.676,89.58333333333333,0
46897,2,0.572,0.822,93.75,1
46897,3,0.603,1.269,91.66666666666667,0
46897,3,0.640,0.640,97.91666666666667,1
46897,4,0.580,1.664,89.58333333333333,0
46897,4,0.583,0.583,95.83333333333333,1
46897,0,0.716,0.716,97.91666666666667,0
46897,0,0.761,0.761,97.91666666666667,1
46897,1,0.627,0.627,100,0
46897,1,0.622,1.289,91.66666666666667,1
46895,0,0.776,3.526,81.25,0
46895,0,0.661,1.744,89.58333333333333,1
46895,1,0.670,1.337,91.66666666666667,0
46895,1,0.600,3.350,81.25,1
46895,3,0.634,0.884,93.75,0
46895,3,0.651,1.734,89.58333333333333,1
46895,4,0.591,3.341,81.25,0
46895,4,0.670,0.670,97.91666666666667,1
46895,2,0.599,2.932,83.33333333333333,0
46895,2,0.641,1.724,89.58333333333333,1
